recruitNumber,name,detailLink,publishTime,catalog,workLocation
1,14914-品牌活动总监（深圳）,http://hr.tencent.com/position_detail.php?id=17457&keywords=&tid=0&lid=0,2015-02-09,市场类,深圳
1,HY2-游戏运营云平台产品经理（深圳）,http://hr.tencent.com/position_detail.php?id=19003&keywords=&tid=0&lid=0,2015-01-31,产品/项目类,深圳
1,MIG07-杀毒引擎开发工程师（北京）,http://hr.tencent.com/position_detail.php?id=18849&keywords=&tid=0&lid=0,2015-02-12,技术类,北京
1,2284-IEG财务分析（深圳）,http://hr.tencent.com/position_detail.php?id=13498&keywords=&tid=0&lid=0,2014-10-30,职能类,深圳
1,S2-财付通业务管理（深圳）,http://hr.tencent.com/position_detail.php?id=18251&keywords=&tid=0&lid=0,2014-10-15,职能类,深圳
1,15577-电影项目制片人（深圳）,http://hr.tencent.com/position_detail.php?id=17467&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
1,15573-游戏美术UI视觉设计师（深圳）,http://hr.tencent.com/position_detail.php?id=14645&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
1,SD13-本地化策划(深圳),http://hr.tencent.com/position_detail.php?id=12520&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
2,15583-互娱网页视觉设计师(深圳),http://hr.tencent.com/position_detail.php?id=17438&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
2,HY2-游戏运营高级后台开发工程师(深圳),http://hr.tencent.com/position_detail.php?id=17083&keywords=&tid=0&lid=0,2015-02-12,技术类,深圳
1,15581-欢乐手游2D动画特效设计师（深圳）,http://hr.tencent.com/position_detail.php?id=19194&keywords=&tid=0&lid=0,2015-02-12,设计类,深圳
4,TEG15-运营开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=20744&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,SD13-电视游戏运营策划（深圳）,http://hr.tencent.com/position_detail.php?id=21292&keywords=&tid=0&lid=0,2015-08-25,产品/项目类,深圳
30,SNG07-高级系统测试工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21683&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
4,SNG08-手机Qzone android开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=11716&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,SNG12-windows虚拟化研发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=17564&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,WXG02-微信用户兴趣数据挖掘与分析算法工程师（北京）,http://hr.tencent.com/position_detail.php?id=21675&keywords=&tid=0&lid=0,2015-08-24,技术类,北京
3,17229-手游后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21978&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
2,TEG03-用户画像平台后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21636&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,SD6-活动运营策划（上海）,http://hr.tencent.com/position_detail.php?id=19302&keywords=&tid=0&lid=0,2015-01-13,产品/项目类,上海
1,ZX1-微信支付产品运营经理（深圳）,http://hr.tencent.com/position_detail.php?id=15981&keywords=&tid=0&lid=0,2015-01-05,产品/项目类,深圳
2,15569-客户端开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=18494&keywords=&tid=0&lid=0,2015-02-12,技术类,深圳
1,15569-游戏文案世界观策划（深圳）,http://hr.tencent.com/position_detail.php?id=18554&keywords=&tid=0&lid=0,2015-02-12,产品/项目类,深圳
